"SEN","08/03/2026","6","1104.2561","3.134","21.2059","1163.0012","22288.0419","270.107","341.0325","1539.1502","1530.8058","3011.7736","1353.2669"
"SEN","08/03/2026","7","1029.2189","69.9202","24.9579","1164.0424","21432.9851","287.2468","340.579","2076.5174","1531.8883","3063.0812","1442.2636"
"SEN","08/03/2026","8","950.1448","862.8455","24.9474","1168.4844","20467.8223","282.3699","340.3262","1899.6407","1532.3332","2993.4168","1498.4581"
"SEN","08/03/2026","9","909.7953","3603.641","24.0278","1116.0796","18391.2407","275.2068","339.5641","1613.9685","1531.2836","2784.6579","1512.1533"
"SEN","08/03/2026","10","784.9652","4738.9458","22.3069","1001.1438","18199.0065","269.2431","338.4836","1463.0028","1530.1932","2501.6271","1482.2666"
"SEN","08/03/2026","11","854.6665","4914.9421","20.5055","976.2621","18510.7259","257.9557","336.8011","1313.6144","1528.8636","2432.7143","1391.2657"
"SEN","08/03/2026","12","1070.622","5010.2969","23.9274","998.0863","18166.1326","229.0221","334.1655","1295.6424","1527.8258","2635.7617","1374.9991"
"SEN","08/03/2026","13","1616.5904","4946.5593","25.286","999.2814","17971.6136","237.2325","332.5428","1173.5001","1526.9364","2726.5665","1327.4647"
"SEN","08/03/2026","14","2055.2096","5059.2657","25.2827","998.3901","18270.843","248.5223","332.6644","1193.034","1526.1877","2410.0294","1321.0225"
"SEN","08/03/2026","15","2210.5318","4815.4597","25.2376","994.8628","18826.7547","228.0236","332.7329","1454.8086","1525.6212","2304.2892","1323.2792"
"SEN","08/03/2026","16","2188.6906","4470.3397","25.2829","1026.6086","19575.6028","238.6143","332.5289","1607.4914","1525.7256","2396.2924","1319.978"
"SEN","08/03/2026","17","2225.212","3660.6332","25.416","1177.1409","20322.0499","244.2425","332.2233","2093.1041","1526.1534","2558.3103","1442.5289"
"SEN","08/03/2026","18","2333.7003","2489.642","25.0407","1180.5807","21331.3849","268.5625","332.8553","2681.6533","1526.1488","2619.2852","1496.0351"
"SEN","08/03/2026","19","2003.3787","764.0009","24.2553","1184.6397","23385.4772","285.5237","333.7616","3752.9221","1526.2903","2739.3751","1642.1932"
"SEN","08/03/2026","20","1677.9846","42.1454","25.0356","1430.5281","24539.9823","289.2239","334.7559","5423.9398","1525.9857","2833.1091","1795.9354"
"SEN","08/03/2026","21","1519.2731","28.4566","24.8813","1526.6137","24884.6008","277.7484","334.8899","5320.0535","1524.8299","2898.0338","1911.6149"
"SEN","08/03/2026","22","1635.0593","15.232","24.8904","1276.4366","25311.8745","271.7661","334.1349","4536.0519","1523.4355","2881.6519","1914.7825"
"SEN","08/03/2026","23","1768.3868","12.1255","25.087","1220.9859","24854.5661","263.5861","333.6181","3954.7197","1522.3117","2825.4569","1837.9062"
"SEN","08/03/2026","24","2287.3045","19.5491","25.3136","1220.1693","22881.2509","266.9412","198.8617","2854.6112","1521.4119","2668.3434","1519.9163"
"SEN","09/03/2026","1","1998.7359","5.0357","25.4391","1168.856","22598.5043","273.5689","335.5484","3098.2577","1519.5966","2719.0927","1523.7869"
"SEN","09/03/2026","2","2239.669","0.0013","24.0685","1009.538","21866.1763","263.1783","335.3767","2635.7651","1520.2265","2613.7342","1483.9118"
